NRE,ESCOLA,Total de estudantes que farão o TOIC,Quantidade de Aplicadores,Responsável pelo Teste,Responsável Técnico e Infraestrutura 
,"CRISTOFORO MYSKIV, C E PE-EF M",8,1,1,1
,"DARIO VELOSO, C E PROF-EF M PROFIS",6,1,1,1
,"DOMINGOS V LOPES, C E C CAP-EF M",23,2,1,1
,"FAXINAL DOS FRANCOS, C E C DE-EF M",11,1,1,1
,"FAXINAL DOS MARMELEIROS, C E C DE-EF M",1,1,1,1
,"FRANCISCO RAMOS, C E-EF M PROFIS",37,2,1,1
,"GETULIO VARGAS, C E-EF M ETI",10,1,1,1
,"GONCALVES JUNIOR, C E C-EF M",6,1,1,1
,"GUARAUNA, C E C-EF M",14,1,1,1
,"IMACULADA CONCEICAO, C E C-EF M",18,1,1,1
,"JOAO DE M PESSOA, C E C-M-EF M",6,1,1,1
,"JOAO NEGRAO JR, C E-EF M",9,1,1,1
,"JOAO XXIII, C E-EF ETI EM PROFIS",20,1,1,1
,"JOSE MARTENETZ, C E C BISPO D-EF M",4,1,1,1
,"JOSE ORESTES PREIMA, C E C PE-EF M P",15,1,1,1
,"JULIO CESAR, C E PROF-EF M N",17,1,1,1
,"LUIZA ROSA Z PINTO, C E PROFA-EF M",5,1,1,1
,"MARIA IGNACIA, C E C-M PROFA-EF M",3,1,1,1
,"NICOLAU COPERNICO, C E C-M-EF M",2,1,1,1
,"NOSSA SRA APARECIDA, C E C-EF ETI EM",1,1,1,1
,"NOSSA SRA DE FATIMA, C E C-E F M",9,1,1,1
,"ONDINA PEREIRA OGG, C E PROFA - EF M",4,1,1,1
,"PAPANDUVA DE CIMA, C E C DE-EF M",19,1,1,1
,"PARIGOT DE SOUZA, C E C-M-EF M N PROFIS",2,1,1,1
,"PEDRO BALTZAR, C E C PE-EF M",3,1,1,1
,"RIO D AREIA DE CIMA, C E C DO-EF M",13,1,1,1
,"RIO DO COURO, C E C DE-EF M",6,1,1,1
,"TRAJANO GRACIA, C E-EF M",27,2,1,1
,"VILA NOVA, C E-EF ETI EM N",20,1,1,1
IVAIPORA,"1 DE SETEMBRO, C E C-EF M",11,1,1,1
,"AGRONOMO HINTZ, C E C - EF M",8,1,1,1
,"ANITA GARIBALDI, C E C-M-EF M PROFIS",11,1,1,1
,"ANTONIO DINIZ PEREIRA, C E C-M-EF M",1,1,1,1
,"ARAPUA, C E DE-EF ETI EM",3,1,1,1
,"ARTHUR DE AZEVEDO, C E-EFM ETI N P",16,1,1,1
,"ARY B CARNEIRO, C E-EF M PROFIS",1,1,1,1
,"BARBOSA FERRAZ, C E-EM N PROFIS",43,3,1,1
,"BENTO MOSSURUNGA, C E C-M - EFM ETI",17,1,1,1
,"BOA V DA STA CRUZ, C E DO C DE-EF M",6,1,1,1
,"CAMPINEIRO DO SUL,C E C-EF M PROFIS",2,1,1,1
,"CANDIDO DE ABREU, C E DR-EF M N PROFIS",16,1,1,1
,"CARLOS SILVA, C E-EFM ETI P",36,2,1,1
,CENT ES ED PROFIS AG PROF ADILSON REDIVO,23,2,1,1
,"CERRO AZUL, C E BARAO DO-EFM ETI",1,1,1,1
,"CORA CORALINA, C E C-EF M",2,1,1,1
,"CRISTOVAO COLOMBO, C E-EFM ETI N PROFIS",14,1,1,1
,"DIOGO A CORREIA, C E C-EF M",2,1,1,1
,"FLORIANO PEIXOTO, C E C MAL-EF M",18,1,1,1
,"FLORIDA DO IVAI, C E DO C-EF M",2,1,1,1
,"GEREMIAS LUNARDELLI, C E COM-EF M ETI P",36,2,1,1
,"GODOY MOREIRA, C E DO C-EF M",29,2,1,1
,"GREGORIO KAEKCHOT, C E I CAC-EI EF M N",1,1,1,1
,"IDALIA ROCHA, C E-EF M",13,1,1,1
,"IMPERATRIZ TERESA CRISTINA,CEC EF ETI EM",8,1,1,1
,"JOSE DE MATTOS LEAO, C E C-M-EF M",7,1,1,1
,"JOSE S ROSAS, C E-EF M ETI",24,2,1,1
,"KENNEDY, C E PRES-EF M",17,1,1,1
,"MARIZA, C E C-EF M",5,1,1,1
,"NILO PECANHA, C E C-EF M",6,1,1,1
,"PEDRO I, C E C D-EF ETI EM P",12,1,1,1
,"RENI C GAMPER, C E PROFA-EM ETI P N",55,3,1,1
,"RIO BRANCO, C E-EF M",27,2,1,1
,"ROMEOPOLIS, C E DO C DE-EF M",2,1,1,1
,"SERGIO KRIGRIVAJA LUCAS, C E I P-EI EF M",1,1,1,1
,"VICENTE MACHADO, C E C-M-EF M",13,1,1,1
JACAREZINHO,"ANGELINA R VEZOZZO, C E-EF M",7,1,1,1
,"BARBOSA FERRAZ, C E-EF M ETI",8,1,1,1
,"CAROLINA LUPION, C E C-M DONA-EF M",4,1,1,1
,"CAROLINA LUPION, C E-EF M N",11,1,1,1
,CENTRO EST EDUC PROFIS A MOHAMAD A HAMZE,56,3,1,1
,"DISTRITAL DE JOA, C E DO C-EF M",15,1,1,1
,"DURVAL RAMOS FILHO, C E-EF ETI EM P",5,1,1,1
,"EDITH S PRADO DE OLIVEIRA, C E C-M-EF M",13,1,1,1
,"GENEROSO MARQUES, C E C-M DR-EF M",8,1,1,1
,"HELOISA I M RIBEIRO, C E DO C-EF M",2,1,1,1
,"HERCILIA P E SILVA, C E C-M PROFA-EF M P",14,1,1,1
,"HERMINIA LUPION, C E-EF ETI EM N",17,1,1,1
,"IMACULADA CONCEICAO, C E-EF M ETI",2,1,1,1
,"JOAO DA R CHUEIRI, C E C-M DR-EF M P",6,1,1,1
,"JOAO M DA SILVEIRA, C E-EF M PROFIS",58,3,1,1
,"JOAQUIM A DE MOURA, C E PROF-EF M PROF N",47,3,1,1
,"JORGINA B DE PAULA, C E DO C-EF M",6,1,1,1
,"LUCY REQUIAO M E SILVA, C E-EF M ETI",6,1,1,1
,"LUIZ SETTI, C E-E F M P N",7,1,1,1
,"MARIA DALILA PINTO, C E-EF M PROFIS",11,1,1,1
,"MARIA F SOUZA, C E-EF ETI M",12,1,1,1
,"MARQUES DOS REIS, C E-EI EF M",7,1,1,1
,"MIGUEL DIAS, C E C-M -EFMP",18,1,1,1
,"MONTE REAL, C E DO C-EF ETI EM",1,1,1,1
,"MORALINA ELEUTERIO, C E C-M DONA-EF M",7,1,1,1
,"NICANOR BUENO MENDES, C E-EM",17,1,1,1
,"RIO BRANCO, C E-EF ETI EM N P",1,1,1,1
,"RUI BARBOSA, C E - EFMP",3,1,1,1
,"RUI BARBOSA, CEC-M-EFMNP",5,1,1,1
,"RUTH M CORREA, C E C-M-EF M PROF",15,1,1,1
,"SEBASTIAO L DA SILVA, C E DO C-EF M",5,1,1,1
,"SILVIO TAVARES, C E PROF-EF M ETI PROFIS",9,1,1,1
,"STELLA MARIS, C E C-M-E F M P",21,2,1,1
,"TIRADENTES, C E-EF ETI EM P",3,1,1,1
,"VALMIR MOTTA DE OLIVEIRA, C E DO C - EFM",3,1,1,1
LARANJEIRAS DO SUL,"ALTO ALEGRE, C E C- EF M ETI",2,1,1,1
,"ALTO RECREIO, C E C-M-EF M",1,1,1,1
,"ALVARO N DE CAMARGO, C E-EF M",1,1,1,1
,"ARNALDO BUSATO, C E-EF M",1,1,1,1
,"CANDOCA T FIDENCIO, C E I PROF-EI EFM",1,1,1,1
,"CAVACO, C E C DE -E F M",1,1,1,1
,CENTRO EST ED PROF PROFA NAIANA B SOUZA,45,3,1,1
,"CHICO MENDES, C E C-EI EF M N PROFIS",3,1,1,1
,"ELENIR LINKE, C E PROF-EF M ETI",5,1,1,1
,"ERICO VERISSIMO, C E C-M-EF M",8,1,1,1
,"EURICO G DUTRA, C E GEN-EF M",30,2,1,1
,"FEG-PRAG FERNANDES, C E I-EI EF M",1,1,1,1
,"FLORIANO PEIXOTO, C E-EF M",13,1,1,1
,"GABRIELA MISTRAL, C E-EF M ETI",10,1,1,1
,"GILDO A SCHUCK, C E PROF-EF M ETI N",3,1,1,1
,"GUARANI DA ESTRATEGICA, C E C-EF M ETI",11,1,1,1
,"IRACI S STROZAK, C E DO C-EI EF M N",2,1,1,1
,"IRENO ALVES DOS SANTOS, C E C-EF M ETI",16,1,1,1
,"JOANY G DE LIMA, C E C-EF M",8,1,1,1
,"JOAO RYSICZ, C E-EF M PROFIS",10,1,1,1
,"JOAQUIM N RIBEIRO, C E C-EF M N ETI",2,1,1,1
,"JOSE ALVES DOS SANTOS, C E C-EF M ETI",17,1,1,1
,"JOSE DE ANCHIETA, C E-EF M ETI",39,2,1,1
,"JOSE MARCONDES SOBRINHO, C E-EF M ETI",6,1,1,1
,"KO HOMU, C E I-EI EF M",1,1,1,1
,"LAGEADO BONITO, C E C-EF M",8,1,1,1
,"LARANJEIRAS DO SUL, C E DE-EF M",14,1,1,1
,"LUDOVICA SAFRAIDER, C E-EF M",6,1,1,1
,"NUCLEO RESID PINDORAMA, C E DO-EF M",6,1,1,1
,"OLAVO BILAC, C E-EF M N PROFIS",21,2,1,1
,"OSORIO DUQUE ESTRADA, C E C-M-EF M",2,1,1,1
,"PEDRO R DE SIQUEIRA, C E C-EF M",10,1,1,1
,"PINHALZINHO, C R E DE-EF M",11,1,1,1
,"RIO DAS COBRAS, C E R I-EF M",2,1,1,1
,"RUI BARBOSA, C E-EF M",2,1,1,1
,"SIGISMUNDO, C E PE-EF M N PROFIS",47,3,1,1
,"VILA INDUSTRIAL, C E-EF M",4,1,1,1
,"VILA JOHN KENNEDY, C E C-M DA-EF M",19,1,1,1
LOANDA,"AFONSO CAMARGO, C E C-M PRES-EF M",6,1,1,1
,"ALBERICO M DA SILVA, C E C-M-EF M",3,1,1,1
,"ARTHUR DA C SILVA, C E MAL-EF ETI EM N",22,2,1,1
,"ARY J DRESCH, C E-EF M N PROFIS",16,1,1,1
,"CASTRO ALVES, C E-EF M",14,1,1,1
,"CECILIA MEIRELES, C E-EF M ETI",19,1,1,1
,"CENTRAO, C E C-EF M",2,1,1,1
,CENTRO EST EDUC PROFIS DO NOROESTE,46,3,1,1
,"CONSTANTINO MAROCHI, C E S-EF M ETI",29,2,1,1
,"FERNANDO DE AZEVEDO, C E-EF M ETI",11,1,1,1
,"GUILHERME DE ALMEIDA, C E-EF M ETI N",11,1,1,1
,"HUMBERTO DE CAMPOS, C E-EF ETI EM P",21,2,1,1
,"IVAINA, C E C DE-EF M",4,1,1,1
,"IZABEL, C E PRINC-EF M",42,3,1,1
,"MANOEL ROMAO NETTO, C E-EF M",13,1,1,1
,"NARCIZO MENDES, C E C-EF M",4,1,1,1
,"PARANA, C E-EF M PROFIS",25,2,1,1
,"REYNALDO MASSI, C E-E F M ETI",21,2,1,1
,"RUI BARBOSA, C E-EM",12,1,1,1
,"SANTA MONICA, C E-EF M ETI",16,1,1,1
,"SANTOS DUMONT, C E C-M-EF M",2,1,1,1
,"VALE DO TIGRE, C E C-M-EF M",3,1,1,1
LONDRINA,"11 DE OUTUBRO, C E C-M-EF M PROFIS",9,1,1,1
,"14 DE DEZEMBRO, C E-EF M ETI N P",59,3,1,1
,"ADELIA D BARBOSA, C E C-M PROFA-EF M P",22,2,1,1
,"ALBINO FEIJO SANCHES,CE - EF ETI EM P",4,1,1,1
,"ALTAIR APARECIDO CARNEIRO,CE PROF-EF M P",17,1,1,1
,"ANA MOLINA GARCIA, C E-EF ETI EM",7,1,1,1
,"ANDREA NUZZI, C E C-M MAESTRO-EF M P",29,2,1,1
,"ANTONIO DE MORAES BARROS, C E-EF M PROFI",17,1,1,1
,"ANTONIO IGLESIAS, C E-EF ETI EM",2,1,1,1
,"ANTONIO RAMINELLI, C E C-M-EF M PROFIS",30,2,1,1
,"ARNALDO BUSATO, C E-EF M",8,1,1,1
,"ARTHUR DA C SILVA, C E PRES-EF M ETI P",7,1,1,1
,"ATTILIO CODATO, C E C-M-EF M",15,1,1,1
,"BASILIO DE LUCCA, C E C-M-EF M",8,1,1,1
,"BEAHIR EDNA MENDONCA,CE PROFA-EF ETI EM",13,1,1,1
,"BENEDITA R REZENDE, C E PROFA-EF M P",66,4,1,1
,"BENJAMIN CONSTANT, C E-EF M ETI",7,1,1,1
,"BRASILIO DE ARAUJO, C E-EF ETI EM P",27,2,1,1
,"CARLOS A MUNGO GENEZ, C E PROF-EF M ETI",1,1,1,1
,"CARLOS DE ALMEIDA, C E C-M-EF M PROFIS",25,2,1,1
,"CARMELA DUTRA, C E-EF ETI EM",58,3,1,1
,"CASTELO BRANCO, C E MAL-EF M N PROFIS",29,2,1,1
,CEEP PROFA ELEUZA MARIA A SEMPREBOM,6,1,1,1
,"CELIA M DE OLIVEIRA, C E C-M PROF-EF M P",3,1,1,1
,CENTRO EST EDU PROF P MARIA R CASTALDI,127,4,1,1
,"CLEIA GODOY F SILVA, C E PROFA-EF M",9,1,1,1
,"DARIO VELLOZO, C E-EF M ETI",1,1,1,1
,"DEA ALVARENGA, C E PROF-EF M",26,2,1,1
,"ERICO VERISSIMO, C E C-M-EF M PROFIS",12,1,1,1
,"EUDICE R OLIVEIRA, C E PROF-EI EF M P",33,2,1,1
,"EUZEBIO B DE MENEZES, C E CAP-EF M",39,2,1,1
,"FERNANDO DE B PINTO, C E C-M DR-EF M",15,1,1,1
,"FRANCISCO VILLANUEVA,C E C-M PROF-EF M P",53,3,1,1
,"GABRIEL C MARTINS, C E DR-EF M",30,2,1,1
,"GERALDO FERNANDES, C E D-EF M ETI",15,1,1,1
,"HEBER S VARGAS, C E C-M PROF DR-EF M P",30,2,1,1
,"HELENA KOLODY, C E C-M PROF-EF M",30,2,1,1
,"HUGO SIMAS, C E C-M-EF M PROFIS",31,2,1,1
,"HUMBERTO P COUTINHO, C E C-M-E F M",39,2,1,1
,INST ED EST DE LONDRINA -EF ETI EM N P,18,1,1,1
,"INST LOND EDUC SURDOS, C E-EI EF M ETI",1,1,1,1
,"JARDIM SAN RAFAEL, C E DO-EF M ETI",24,2,1,1
,"JAYME CANET, C E - EM ETI",59,3,1,1
,"JOSE A ARAGAO, C A P DA UEL PROF-EFMP",45,3,1,1
,"JOSE ALEX CHIARELLI, C E C-M PROF-EF M P",37,2,1,1
,"JOSE CARLOS PINOTTI, C E PROF-EF M",96,4,1,1
,"JOSE DE ANCHIETA, C E-EF M ETI P",50,3,1,1
,"JOSE HERIONS, C E PE-EF ETI EM P",67,4,1,1
,"JOSE PIRES, C E PE-EF ETI EM P",41,3,1,1
,"JOSEMARIA ESCRIVA, C E C-M MONS-EF M",14,1,1,1
,"JULIA WANDERLEY, C E-EF M ETI",21,2,1,1
,"KENNEDY, C E C-M PRES-EF M PROF NORMAL",20,1,1,1
,"LAURO P TAVARES, C E C-M DR-EF M",23,2,1,1
,"LUCIA B LISBOA, C E PROFA-EF M",51,3,1,1
,"MACHADO DE ASSIS, C E-EF M ETI",17,1,1,1
,"MACHADO DE ASSIS, C E-EF M PROF",72,4,1,1
,"MACHADO DE ASSIS, C E-EF M PROFIS",10,1,1,1
,"MALVINO DE OLIVEIRA, C E PRF-EF M ETI",30,2,1,1
,"MANUEL BANDEIRA, C E C-M-EF M",8,1,1,1
,"MARAVILHA, C E DE-EF M",6,1,1,1
,"MARCELINO CHAMPAGNAT, C E-EF M PROFIS",56,3,1,1
,"MARGARIDA B LISBOA, C E C-M PROFA-EF M",45,3,1,1
,"MARIA AP ROSIGNOL FRANCIOSI, C E C-EF M",1,1,1,1
,"MARIA C DE ALCANTARA, C E PROFA-EF M P",28,2,1,1
,"MARIA DO CARMO AMBROZIO, C E PROFA-EF M",9,1,1,1
,"MARIA HELENA DAVATZ, C E PROFA-EF M",7,1,1,1
,"MARIA J B AGUILERA, CE PROFA-EF ETI EM P",66,4,1,1
,"MARIA MAGDALENA M RAMOS, C E PROF - EFM",20,1,1,1
,"MONTEIRO LOBATO, C E C-M-EF M",13,1,1,1
,"NEWTON GUIMARAES, C E C-M PROF-EF M",74,4,1,1
,"NILO PECANHA, C E C-M-EF M PROFIS",9,1,1,1
,"NILSON RIBAS, C E DR-EF M N PROFIS",103,4,1,1
,"NOSSA SRA LOURDES, C E-EF M ETI E PROF",6,1,1,1
,"ODETE BORGES BOTELHO, C E-EF M",4,1,1,1
,"OLAVO BILAC, C E-EF M ETI N P",40,2,1,1
,"OLAVO BILAC, C E-EF M PROFIS",54,3,1,1
,"OLAVO G F DA SILVA, CE DR-EF ETI EM",1,1,1,1
,"OLYMPIA M TORMENTA, C E C-M PROF-EF M P",25,2,1,1
,"PATRIMONIO REGINA, C E C-M DO-EF M",19,1,1,1
,"PAULO FREIRE, C E PROF-E F M",31,2,1,1
,"PAULO S BARTHOLOMEU, C E PROF-E F M P",20,1,1,1
,"POL MILITAR DO PARANA, 2 C- EF M",4,1,1,1
,"POLIVALENTE, C E-EF M PROFIS",7,1,1,1
,"RICARDO LUNARDELLI, C E-EI EF M PROFIS",11,1,1,1
,"RINA M D J FRANCOVIG, CE PROFA-EF ETI EM",13,1,1,1
,"RIO BRANCO, C E C-M BAR DO-EF M",11,1,1,1
,"ROSELI PIOTTO ROEHRIG, C E PROFA-EF M",4,1,1,1
,"SAGRADA FAMILIA, C E-EF M ETI",4,1,1,1
,"SOUZA NAVES, C E-EF M PROFIS",78,4,1,1
,"TEOTHONIO B VILELA, C E-EF M ETI",1,1,1,1
,"THIAGO TERRA, C E C-M-EF M PROF",8,1,1,1
,"TSURU OGUIDO, C E C-M-EF M",6,1,1,1
,"UBEDULHA C OLIVEIRA, CE PROF-EFM ETI P N",14,1,1,1
,"ULYSSES GUIMARAES, C E C-M-EF M",21,2,1,1
,"UNIDADE P KAROLINE V A LUAN A S,C E-EFMP",57,3,1,1
,"VANI RUIZ VIESSI, C E C-M PROFA-EF M",15,1,1,1
,"VARGAS, C E C-M PRES-EF M",56,3,1,1
,"VICENTE RIJO, C E-EF ETI EM P",36,2,1,1
,"VISTA BELA, C E C-M-EF M PROFIS",12,1,1,1
,"WARTA, C E DA-EF ETI EM",10,1,1,1
,"WILLIE DAVIDS, C E DR-EF M ETI",22,2,1,1
,"WISTREMUNDO R P GARCIA, C E C-M PE-EFM P",29,2,1,1
MARINGA,"ADAILE M LEITE, C E-EF M PROFIS",20,1,1,1
,"ADOLPHO O FRANCO, C E GOV- EF M PROFIS",25,2,1,1
,"ALBERTO J BYINGTON JR, C EC-M-EF M PROFI",33,2,1,1
,"ALFREDO MOISES MALUF, C E-EF M PROFIS",42,3,1,1
,"ANTONIO FCO LISBOA, C E-EF M PROFIS",14,1,1,1
,"APLICACAO PED DA UEM, C DE-EF M",23,2,1,1
,"ARTHUR DA C E SILVA, C E MAL-EF M PROFIS",35,2,1,1
,"BASILIO PERTSEW, C E-EF ETI EM",47,3,1,1
,"BENOIL F M BOSKA, C E PROF-EF M ETI",12,1,1,1
,"BRANCA DA MOTA FERNANDES, C E-EF M PROFI",24,2,1,1
,"BRASILIO ITIBERE, C E-EF M ETI",23,2,1,1
,"CAMARGO, C E DR-EF M ETI",27,2,1,1
,"CAXIAS, C E C-M DQ DE-EF M PROFIS",19,1,1,1
,"CECILIA MEIRELES, C E C-M-EF M PROFIS",8,1,1,1
,CENTRO EST ED PROF AGRIC AGROEDUCAR,12,1,1,1
,CENTRO EST ED PROF PE JOSEIR SVERSUTTI,20,1,1,1
,"CONJUNTO JOAO DE BARRO, C E-EF M",10,1,1,1
,"CORA CORALINA, C E C-M-EF M PROFIS",33,2,1,1
,"CYRO P DE CAMARGO, C E-EF M",10,1,1,1
,"DENISE C ALBUQUERQUE, CE PROFA-EF M ETI",5,1,1,1
,"DIRCE DE A MAIA, C E-EF M ETI",16,1,1,1
,"EGIDIO BALLAROTTI, C E-EF ETI EM",31,2,1,1
,"FELIPE S BITTENCOURT, C E DR-EF ETI EMP",4,1,1,1
,"GASTAO VIDIGAL, C E DR-EF M PROFIS",21,2,1,1
,"HELENA KOLODY, C E-EF M P",1,1,1,1
,"HUMBERTO DE CAMPOS, C E-EF M ETI",9,1,1,1
,INST ED E MARINGA-EF M N PROFIS,20,1,1,1
,"IPIRANGA, C E C-M-EF M",14,1,1,1
,"IVAN F A SILVA FILHO, C E DR-EF M ETI",14,1,1,1
,"IZABEL, C E C-M PRINC-EFM",10,1,1,1
,"JARDIM INDEPENDENCIA, C E DO-EF M PROFIS",15,1,1,1
,"JARDIM PANORAMA, C E-EF M PROFIS",49,3,1,1
,"JARDIM UNIVERSITARIO, C E-EF M PROFIS",10,1,1,1
,"JOAO DE F PIOLI, C E-EF M P",11,1,1,1
,"JOSE DE ANCHIETA, C E C-EF M",7,1,1,1
,"JOSE F SALDANHA, C E ENG-EF ETI",3,1,1,1
,"JOSE LUIZ GORI, C E-EF M PROFIS",134,4,1,1
,"JURACY R S ROCHA, C E-EF M PROFIS",21,2,1,1
,"JUSCELINO K OLIVEIRA, C E-EF M ETI",49,3,1,1
,"KENNEDY, C E PRES-EF ETI EM P",18,1,1,1
,"LUIZ ZANCHIM, C E C-M VER-EF M PROFIS",16,1,1,1
,"MARCIA VAZ T ABREU, C E-EF M ETI",4,1,1,1
,"MARCO A PIMENTA, C E C-M -EFMP",20,1,1,1
,"MARIA C N DE SOUZA, C E-EF ETI",23,2,1,1
,"MONTEIRO LOBATO, C E-EF ETI EM P",10,1,1,1
,"MONTEIRO LOBATO, C E-EF M PROFIS",49,3,1,1
,"NEIDE BERTASSO BERALDO, C E-EF M PROFIS",47,3,1,1
,"OLAVO BILAC, C E-EF M",30,2,1,1
,"OLAVO BILAC, C E-EF M ETI P N",17,1,1,1
,"PAICANDU, C E-EF M N PROFIS",37,2,1,1
,"PARIGOT DE SOUZA, C E-EF M P N",111,4,1,1
,"PEDRO I, C E D-E M PROFIS",24,2,1,1
,"PEDRO V PARIGOT SOUZA, C E C-M-EF M P",25,2,1,1
,"POL MILITAR, C DA-EF M",19,1,1,1
,"RODRIGUES ALVES, C E-EF M ETI",18,1,1,1
,"ROMARIO MARTINS, C E-EF ETI EM",37,2,1,1
,"RUI BARBOSA, C E-EF M",6,1,1,1
,"RUI BARBOSA, C E-EM ETI",25,2,1,1
,"SANTA MARIA GORETTI, C E-EF M PROFIS",33,2,1,1
,"SAO FRANCISCO DE ASSIS, C E-EF M ETI",9,1,1,1
,"SAO VICENTE PALLOTTI, C E C-M-EF M P",4,1,1,1
,"SERAFIM FRANCA, C E C-M-EF M PROFIS",13,1,1,1
,"SILVIO M BARROS, C E-EF M",24,2,1,1
,"TANCREDO DE A NEVES, C E-EF M PROFIS",7,1,1,1
,"TANIA V FERREIRA, C E-EF M PROFIS",25,2,1,1
,"TEREZA CRISTINA, C E C-EF M",19,1,1,1
,"THEOBALDO M SANTOS, C E-EF M",41,3,1,1
,"TOMAZ E DE A VIEIRA, C E C-M-EF M PROFIS",22,2,1,1
,"UNIDADE POLO, C E-EF M ETI P",14,1,1,1
,"URBANO PEDRONI, C E-EM ETI",19,1,1,1
,"VERA CRUZ, C E-EF M ETI P N",17,1,1,1
,"VERCINDES G DOS REIS, C E C-M-EF M PROFI",31,2,1,1
,"VINICIUS DE MORAES, C E C-M-EF M",41,3,1,1
PARANAGUA,"29 DE ABRIL, C E C-M-EF M P",9,1,1,1
,"ALBERTO GOMES VEIGA, C E-EM PROFIS",66,4,1,1
,"ALEXANDRA, C E C DE-EF M PROFIS",5,1,1,1
,"ALTAHIR GONCALVES, C E PROFA-EF M",11,1,1,1
,"ANIBAL KHURY, C E DEP-E F M P",9,1,1,1
,"ANTONIO PAULO LOPES, C E C-EF M",1,1,1,1
,"ARTHUR M RAMOS, C E DR-EF M",10,1,1,1
,"BENTO M DA ROCHA NETO, C E-EF M P",11,1,1,1
,"CARMEN COSTA ADRIANO, C E PROF-EFMP",13,1,1,1
,CENTRO EST ED PROFIS DR BRASILIO MACHADO,21,2,1,1
,"CIDALIA REBELLO GOMES, C E-E F M P",26,2,1,1
,"CUBATAO, C E C - EF ETI EM",5,1,1,1
,"FELIPE VALENTIM, C E C -EF M",1,1,1,1
,"GABRIEL DE LARA, C E-EF M PROF",23,2,1,1
,"GRATULINO DE FREITAS, C E-EF M N PROF",10,1,1,1
,"HELENA VIANA SUNDIN, C E C-M-EF M",13,1,1,1
,"HELIO ANTONIO DE SOUZA, C E C-M-EF M",13,1,1,1
,"HIRAM ROLIM LAMAS, C E C - EFM ETI",4,1,1,1
,"ILHA DE SUPERAGUI, C E C-EF M",3,1,1,1
,"ILHA DO TEIXEIRA, C E DO C EF M",1,1,1,1
,"ILHA RASA, C E C-EF M",4,1,1,1
,INST E ED DR CAETANO M ROCHA-EF M N P,20,1,1,1
,"JOAQUIM DA S MAFRA, C E PREF-EF M PROF",17,1,1,1
,"JOSE BONIFACIO, C E C-M - EFM ETI P",11,1,1,1
,"LUCY R M E SILVA, C E C-EF M",2,1,1,1
,"MARCILIO DIAS, C E-EF M N",10,1,1,1
,"MARIA ARMINDA, C E PROF-EF M PROFIS",9,1,1,1
,"MARIA DE L R MOROZOWSKI, C E PROF-EF M P",21,2,1,1
,"MARIA HELENA T LUCIANO,CE C-M PROF-EFMNP",13,1,1,1
,"MOYSES LUPION, C E C-M-EF M N PROFIS",10,1,1,1
,"MUSTAFA SALOMAO, C E-EF M",9,1,1,1
,"OSNY DAVID FRAGA, C E VER-EM",16,1,1,1
,"PAULO FREIRE, C E PROF-E F M ETI N",20,1,1,1
,"PORTO SEGURO, C E-EF M PROFIS",17,1,1,1
,"RENEE CARVALHO DE AMORIM, C E PROF-EFM P",11,1,1,1
,"ROCHA POMBO, C E-EF M ETI PROF",10,1,1,1
,"ROCHA POMBO, C E-EF M N PROFIS",9,1,1,1
,"SERTAOZINHO, C E C-M-EF M N PROFIS",16,1,1,1
,"SULLY DA R VILARINHO, C E PROFA-EF M",11,1,1,1
,"TAGACABA PORTO DA LINHA, C E C DE-EF M",7,1,1,1
,"TEREZA DA S RAMOS, C E PROFA-EF M",46,3,1,1
,"VIDAL VANHONI, C E C-M PROF -EFM",5,1,1,1
,"ZILAH DOS S BATISTA, CEC-M PROFA-EFMP",13,1,1,1
,"ZILDA ARNS NEUMANN, C E DRA-EF M",22,2,1,1
PARANAVAI,"ADELIA ROSSI ARNALDI, C E C-EF M",3,1,1,1
,"ANTONIO TORTATO, C E-EM N PROFIS",114,4,1,1
,"BENTO M DA R NETO, C E PROF-EF M PROFIS",57,3,1,1
,"CAETANO M DA ROCHA, C E DR-EF M",7,1,1,1
,"CARLOS GOMES, C E-EF M",1,1,1,1
,"CAXIAS, C E DQ DE-EF M ETI",11,1,1,1
,CEEPA IRINEU MENEGUETTE,5,1,1,1
,"CURITIBA, C E-EF M ETI",19,1,1,1
,"DUILIO T BELTRAO, C E DR-EF M ETI",27,2,1,1
,"ENIRA MORAES RIBEIRO, C E-EF M ETI",5,1,1,1
,"HERVAL, C E MQ DE-EF M",12,1,1,1
,"HUMBERTO A C BRANCO, C E-EF M",16,1,1,1
,"JAMES P CLARK, C E-EF M N",34,2,1,1
,"JOSE DE ANCHIETA, C E C-EF M",13,1,1,1
,"LEONEL FRANCA, C E C-M-EF M PROFIS",4,1,1,1
,"LOURDES A MELO, C E-EF M ETI",5,1,1,1
,"LYSIMACO F DA COSTA, C E-EF M ETI",24,2,1,1
,"MARINS A DE CAMARGO, C E DR-EF M PROFIS",53,3,1,1
,"MONTOIA, C E PE-EF ETI EM",7,1,1,1
,"OLAVO BILAC, C E-EF M",10,1,1,1
,"PARAISO DO NORTE, C E-EF M N",18,1,1,1
,"PARANAVAI, C E DE-EF M N PROFIS",37,2,1,1
,"PEDRO V P DE SOUZA, C E-EF ETI EM",1,1,1,1
,"RAINHA DA PAZ, C E-EF M PROFIS",34,2,1,1
,"RIO BRANCO, C E BAR DO-EF M ETI",14,1,1,1
,"ROMARIO MARTINS, C E DR-EF M ETI",34,2,1,1
,"SANTA INES, C E-EF M",14,1,1,1
,"SAO CARLOS DO IVAI, C E-EF M ETI",13,1,1,1
