NRE,ESCOLA,Total de estudantes que farão o TOIC,Quantidade de Aplicadores,Responsável pelo Teste,Responsável Técnico e Infraestrutura 
,"SPRENGER, C E TEN-EF M N PROFIS",9,1,1,1
,"TANCREDO DE A NEVES, C E-EF M",25,2,1,1
,"TANCREDO DE A NEVES, C E-EF M P",20,1,1,1
,"TANCREDO NEVES, C E-EF M P",4,1,1,1
,"THEODORO DE BONA, C E-EF M PROFIS N",23,2,1,1
,"TIMBU VELHO, C E-EF M PROFIS",23,2,1,1
,"VILA AJAMBI, C E DE-EF M",5,1,1,1
,"VILA MACEDO, C E C-M-EF M",7,1,1,1
,"WALDE ROSI GALVAO, C E-EF M",9,1,1,1
,"ZACARIAS C.DE CRISTO, C E-EF M P",6,1,1,1
,"ZUMBI DOS PALMARES, C E-EFMNP",7,1,1,1
AREA METROP.SUL,"1 CENTENARIO, C E C-M-EF M P",19,1,1,1
,"ABILIO LOURENCO DOS SANTOS, C E-EFMPN",37,2,1,1
,"ADHELMAR SICURO, C E C DR-EF M",13,1,1,1
,"AFONSO PENA, C E-EF M PROFIS",42,3,1,1
,"AGALVIRA B PINTO, C E PROFA-EFMP",12,1,1,1
,"ALBINA NOVAK MUGINOSKI, C E PROFA-EF M",1,1,1,1
,"ALFREDO GREIPEL JUNIOR, C E C-E F M P",24,2,1,1
,"ALOISIO, C E C PROF-EF M",2,1,1,1
,"ALVINO SCHELBAUER, C E-EF M",14,1,1,1
,"AMBROSIA SABATOVICH, C E C IR-EF M",6,1,1,1
,"ANA MARIA V KAVA, C E C PROFA- E F M P",2,1,1,1
,"ANA SCHELBAUER B DE OLIVEIRA, C E C-EF M",2,1,1,1
,"ANDERSON RANGEL, C E C-M PROF-EF M",12,1,1,1
,"ANGELINA A C DO PRADO, C E PROFA-EFMP",33,2,1,1
,"ANGELO GEQUELIN, C E VER-EF M",27,2,1,1
,"ANITA CANET, C E-EF M",16,1,1,1
,"ANITA CANET, C E-EF M P",43,3,1,1
,"ANTONINA, C E BAR DE-EF M PROFIS",11,1,1,1
,"ANTONIO LACERDA BRAGA, CEC-EFM ETI PROFI",16,1,1,1
,"ANTONIO VIEIRA, C E C-M PE-EFMP",22,2,1,1
,"ARAUCARIA, C E C-EF ETI EM",4,1,1,1
,"ARNALDO JANSEN, C E C-M PE-EF M PROFIS",55,3,1,1
,"AUGUSTO VANIN, C E-EF M ETI P",12,1,1,1
,"BARRO PRETO, C E-EF M",11,1,1,1
,"BAYARD OSNA, C E DR-EF M",6,1,1,1
,"CAETANO M DA ROCHA, C E DO C DR-EF M",28,2,1,1
,"CAETANO M ROCHA, C E C-M PRES-EF M",11,1,1,1
,"CARNEIRO, C E C-M GAL-EF M",6,1,1,1
,"CASEMIRO KARMAN, C E-E F M ETI PROFIS",6,1,1,1
,"CECILIA MEIRELES, C E-EF M",5,1,1,1
,CEEP DE FAZDA RIO GRAND EROT ANG NICHELE,168,4,1,1
,CENTRO EST EDUC PROFIS AGRIC DA LAPA,111,4,1,1
,CENTRO EST EDUC PROFIS LYSIMACO F COSTA,53,3,1,1
,"CHICO MENDES, C E C-M-EF M",23,2,1,1
,"CLOTARIO PORTUGAL, C E DES-EF M PROFIS",31,2,1,1
,"COLONIA MALHADA, C E C-EF M PROFIS",8,1,1,1
,"COLONIA MURICI, C E DA-EF M PROFIS",19,1,1,1
,"CONTESTADO, C E C-EF M",3,1,1,1
,"COSTA VIANA, C E-EF M PROFIS N",49,3,1,1
,"CUNHA PEREIRA, C E DES-EF M",48,3,1,1
,"DARLEI ADAD, C E-EF M P",13,1,1,1
,"DECIO DOSSI, C E DR-EF M PROFIS",26,2,1,1
,"DIAS DA ROCHA, C E C-M-EF M P",7,1,1,1
,"DJALMA MARINHO, C E C-M-EF M PROFIS",15,1,1,1
,"DOCE FINO, C E C DE-EF M P",20,1,1,1
,"DONOZOR N NOGUEIRA, C E VER-EF M",29,2,1,1
,"EDITHE, C E PROFA-EF M",5,1,1,1
,"ELEUTERIO F DE ANDRADE, C E C-M-EF M P",33,2,1,1
,"ELZA SCHERNER MORO, C E-EF M P",23,2,1,1
,"ELZEARIO PITZ, C E PROF -EFMP",43,3,1,1
,"EUNICE BORGES DA ROCHA, C E C-EF M",49,3,1,1
,"FAZENDA RIO GRANDE, C E-EF M PROFIS",31,2,1,1
,"FAZENDA VELHA, C E-E F M P",45,3,1,1
,"FRANCISCO BELINOVSKI, C E PE-EF M",11,1,1,1
,"FRANCISCO LECHINOSKI, C E C-EF ETI EM",12,1,1,1
,"FRANCISCO M DE L CAMARGO,C E C PROF-EF M",8,1,1,1
,"FREDERICO GUILHERME GIESE, C E-EF M P",9,1,1,1
,"GERALDINA DA MOTA, C E PROFA-EFM ETI P",12,1,1,1
,"GUAJUVIRA, C E C-EF M PROF",24,2,1,1
,"GUATUPE, C E-EF M PROFIS",10,1,1,1
,"HELENA WYSOCKI, C E PROFA-EF M PROFIS",74,4,1,1
,"HERBERT DE SOUZA, C E-EF M PROFIS",40,2,1,1
,"INOVE, C E-EF M ETI PROFIS",5,1,1,1
,"IPE, C E - EF M PROFIS",18,1,1,1
,"JOANA GURSKI, C E C-EF M",2,1,1,1
,"JOAO A DE CAMARGO, C E-EF M PROFIS N",21,2,1,1
,"JOAO HOINATZ ANDRADE, C E C-M -EFM",29,2,1,1
,"JOAO NERLI DA CRUZ, C E PROF-EF M",1,1,1,1
,"JOAO XXIII, C E C-M-EF M",10,1,1,1
,"JOAQUIM DE O FRANCO, C E-EF M N PROFIS",49,3,1,1
,"JORGE ANDRIGUETTO, C E DES-EF M N",21,2,1,1
,"JULIO NERONE, C E-EF M",22,2,1,1
,"JULIO SZYMANSKI, C E PROF-E F M P N",69,4,1,1
,"JUSCELINO K DE OLIVEIRA, CEC DR-EF ETI M",13,1,1,1
,"JUSCELINO K OLIVEIRA, C E-EF M P",31,2,1,1
,"JUVENAL B DA SILVEIRA, C E C-EF M",3,1,1,1
,"JUVENTUDE DE SANTO ANTONIO, C E C-M-EF M",10,1,1,1
,"KAMILLA P DA CRUZ, C E C PROFA - EF M P",12,1,1,1
,"LINCOLN S COIMBRA, C E-EF M",15,1,1,1
,"LINDAURA R LUCAS, C E PROF-EF M PROFIS",32,2,1,1
,"LIRIA MICHELETO NICHELE, C E-EF M",62,4,1,1
,"LUCY REQUIAO M E SILVA, C E-EF M PROFIS",12,1,1,1
,"MACEDO SOARES, C E C-M-EF M PROFIS",22,2,1,1
,"MANOEL A DA CUNHA, C E C-M-EF M",23,2,1,1
,"MARIA DA G S SILVA E LIMA, C E PROF-EFM",15,1,1,1
,"MARIA L F PACHECO, C E PROFA-EF M",25,2,1,1
,"MARIA SENEK WOSNHAKI, C E C PROFA-EF M",51,3,1,1
,"MARILZE DA LUZ BRAND, C E PROFA-EF M P",10,1,1,1
,"MAURICIO FERRAZ DA COSTA, C E PROF-EF M",20,1,1,1
,"MAXIMIANO PFEFFER, C E C-EF M",8,1,1,1
,"MIGUEL FRANCO FILHO, C E C-M-EF M PROFIS",6,1,1,1
,"MIGUEL J MICKOSZ, C E C MONS-EF M",4,1,1,1
,"MONTEIRO LOBATO, C E-EF M",4,1,1,1
,"NOSSA SRA DO DESTERRO, C E C-EF M",1,1,1,1
,"NOSSA SRA DOS MILAGRES, C E-EFM",16,1,1,1
,"OLINDAMIR MERLIN CLAUDINO, C E-EF M",15,1,1,1
,"OTALIPIO P DE ANDRADE, C E-EF M PROFIS",12,1,1,1
,"OVANDE DO AMARAL, C E C-M DR-EF M",5,1,1,1
,"PAULO FREIRE, C E C PROF-EF M",22,2,1,1
,"PEDRO II, C E D-EF M",11,1,1,1
,"ROCHA POMBO, C E C-M-EF M",9,1,1,1
,"RUI BARBOSA, C E C-EF M",13,1,1,1
,"SAGRADA FAMILIA, C E-EF M N P",97,4,1,1
,"SAO CRISTOVAO, C E-EF M PROFIS N",34,2,1,1
,"SAO FRANCISCO DE ASSIS, C E C-EF M",3,1,1,1
,"SAO JOSE, C E-E F M P",37,2,1,1
,"SAO PEDRO E SAO PAULO, C E-EF M",23,2,1,1
,"SEBASTIAO CARDOSO LEAL, C E-EF M",5,1,1,1
,"SHIRLEY C T MACHADO, C E C-M-EF M PROF",39,2,1,1
,"SILVEIRA DA MOTTA, C E-EF M PROFIS",42,3,1,1
,"SUSI CRISTINE DA S SILVA, C E PROFA-EF M",35,2,1,1
,"TARSILA DO AMARAL, C E-EF M PROFIS",31,2,1,1
,"TIRADENTES, C E-EF M N PROFIS",57,3,1,1
,"TRAJANO EHLKE PIRES, C E C-EF M",9,1,1,1
,"UNIDADE POLO, C E-EF M PROFIS",52,3,1,1
,"VALDIVINO PAROLIN ACORDES, C E-EF M",7,1,1,1
,"VESPERTINO F PIMPAO, C E DEP-EF M",7,1,1,1
,"VICTOR BUSSMANN, C E-EF M PROFIS",17,1,1,1
,"ZILDA ARNS NEUMANN, C E C-M DRA-EF M P",5,1,1,1
,ZILOAH DE M CARVALHO C E PROFA-EF M P,9,1,1,1
ASSIS CHATEAUBRIAND,"ANCHIETA, C E PE-EF ETI EM PROFIS",39,2,1,1
,"ANTONIO F F DA COSTA, C E-EF M ETI",6,1,1,1
,"BRAGANTINA, C E-EF ETI EM",24,2,1,1
,"CHATEAUBRIANDENSE, C E-EFMNP",81,4,1,1
,"GETULIO VARGAS, C E C-EF M",3,1,1,1
,"GETULIO VARGAS, C E-EF M ETI",10,1,1,1
,"GUIMARAES ROSA, C E C-M-EF M",22,2,1,1
,"HEITOR C DE A FURTADO, C E C -EF ETI EM",18,1,1,1
,"HUMBERTO DE A C BRANCO, CE-EFM ETI PROFI",16,1,1,1
,"ISABEL, C E C PRINC-EF ETI EM",11,1,1,1
,"MACHADO DE ASSIS, C E-E M PROFIS",26,2,1,1
,"PEDRO V P DE SOUZA, C E C-EF M",7,1,1,1
,"RIO BRANCO, C E C BAR DO-EF M",3,1,1,1
,"RUI BARBOSA, C E-EF ETI EM",20,1,1,1
,"RUI BARBOSA, C E-EF M PROF",62,4,1,1
,"TEOTONIO VILELA, C E C-M SEN-EF M",10,1,1,1
,"VINICIUS DE MORAES, C E-EF M ETI",29,2,1,1
,"VINICIUS DE MORAIS, C E C-EF M",4,1,1,1
,"WENCESLAU BRAS, C E C -EFM",1,1,1,1
CAMPO MOURAO,"14 DE DEZEMBRO, C E-EF ETI EM",17,1,1,1
,"ADAUCTO S ROCHA, C E-EF M PROFIS",36,2,1,1
,"ALBERTO SANTOS DUMONT, C E-EF M",19,1,1,1
,"ALTAMIRA DO PARANA, C E-EF M",17,1,1,1
,"ALTO SAO JOAO, C E C DE-EF M ETI",6,1,1,1
,"ANIBAL KHURY, C E-EF M PROFIS",51,3,1,1
,"ANTONIO T OLIVEIRA,C E PREF-EF M PROFIS",15,1,1,1
,"ANTONIO VIEIRA, CEC-M PE - EFMN ETI P",30,2,1,1
,"BOURBONIA, C E DO C DE-EF M",8,1,1,1
,"CAMPINA DA LAGOA, C E-EF M ETI",25,2,1,1
,"CAMPO MOURAO, C E DE-EF M PROFIS N",40,2,1,1
,"CARNEIRO, C E GAL-EF M PROFIS",15,1,1,1
,CENTRO EST EDUC PROFIS AGRIC DE C MOURAO,18,1,1,1
,"CORUMBATAI DO SUL, C E-EF M",28,2,1,1
,"CULTURA UNIVERSAL, C E-EF M",8,1,1,1
,"DARCY JOSE COSTA, C E C-M PROF-EF M P",16,1,1,1
,"GABRIEL SEG SCIPIONE, C E DO C-EF M",9,1,1,1
,"ISABEL, C E PRINC-EF M PROFIS",64,4,1,1
,"IVONE S CASTANHARO, C E PROF-EFMNP",39,2,1,1
,"JAELSON BIACIO, C E C PROF-EF M",7,1,1,1
,"JOAO F COSTA, C E PROF-EF M PROFIS",28,2,1,1
,"JOAO XXIII, C E-EF ETI EM PROFIS",9,1,1,1
,"MACHADO DE A BARBOSA FERRAZ,C E-EMN ETI",15,1,1,1
,"NAPOLEAO B SOBRINHO, C E-EF M ETI PROFIS",7,1,1,1
,"NOVO HORIZONTE, C E-EF M ETI PROFIS",3,1,1,1
,"OLAVO BILAC, C E C-M-EF M PROFIS",10,1,1,1
,"OSVALDO CRUZ, C E C-M DR-EF M",7,1,1,1
,"OURILANDIA, C E C DE - EF M",21,2,1,1
,"RONDON, C E C-M MAL-EF M PROFIS",26,2,1,1
,"RUI BARBOSA, C E C-EF M",14,1,1,1
,"RUI BARBOSA, C E C-M-EF M PROFIS",33,2,1,1
,"SALLES DE OLIVEIRA, C E DO C-EF M",13,1,1,1
,"SANTO INACIO DE LOYOLA, C E-EF M ETI",14,1,1,1
,"SANTO REI, C E C-EF M",6,1,1,1
,"SAO JUDAS TADEU, C E-EF M N PROFIS",16,1,1,1
,"SAO LUIZ GONZAGA, C E C-EF M",11,1,1,1
,"ULYSSES GUIMARAES, C E-EF ETI EM N P",4,1,1,1
,"UNIDADE POLO, C E C-M-EF M PROFIS",38,2,1,1
,"VINICIUS DE MORAES, C E-EF M PROFIS",3,1,1,1
CASCAVEL,"ACQUILINO MASSOCHIN, C E-EF M ETI",12,1,1,1
,"ALBERTO S DUMONT, C E C-M-EFMNP",46,3,1,1
,"ALTO A DO IGUACU, C E C -EF ETI EM",4,1,1,1
,"AMANCIO MORO, C E C-M-EF M N PROFIS",20,1,1,1
,"ANDREIA N SANTOS, CEC-M PROF-EF ETI EM",9,1,1,1
,"ANTONIO DE CASTRO ALVES,CE-EF ETI EMPROF",46,3,1,1
,"ANTONIO F F COSTA, C E DES-EF M N P",12,1,1,1
,"APRENDENDO C/A TERRA E A VIDA, C E C-EFM",6,1,1,1
,"ARTUR AGOSTINI, C E C-EF M",19,1,1,1
,"BENJAMIM ANTONIO MOTTER, C E C-EF M",9,1,1,1
,"BRASMADEIRA, C E C-M-EF M PROFIS",8,1,1,1
,"CARLOS A CAMARGO, C E C-M-EF M PROFIS",21,2,1,1
,"CARLOS GOMES, C E C -EF ETI EM",9,1,1,1
,"CARMELO PERRONE, C E PE-EF M PROFIS",68,4,1,1
,"CATARATAS, C E C-M-EF M",17,1,1,1
,"CAXIAS, C E DQ DE-EF M",15,1,1,1
,CEEP DE AGROINOV PROF MOACIR B L SILVA,63,4,1,1
,CENTRO EST EDUC PROFIS PEDRO B NETO,99,4,1,1
,"CIELITO LINDO, C E-EF ETI EM",11,1,1,1
,"COSTA E SILVA, C E PRES-EF M PROFIS",7,1,1,1
,"DILMA K ANGELICO, C E PROFA-EF ETI EM",11,1,1,1
,"ELEODORO E PEREIRA, C E-EF M PROFIS",90,4,1,1
,"FRANCISCO L DA SILVA, C E PROF-EF M PROF",30,2,1,1
,"HORACIO R DOS REIS, C E-EF M",27,2,1,1
,"HUMBERTO A C BRANCO, C E C-M MAL-EF M P",23,2,1,1
,"IEDA BAGGIO MAYER, C E-EF M",28,2,1,1
,"ITAGIBA FORTUNATO, C E-EF M ETI",23,2,1,1
,"IZABEL, C E PRINC-EF M N PROFIS",43,3,1,1
,"JARDIM CLARITO, C E-EF M",32,2,1,1
,"JARDIM CONSOLATA, C E-EF M PROFIS",98,4,1,1
,"JARDIM INTERLAGOS, C E-EF M",12,1,1,1
,"JARDIM SANTA CRUZ, C E-EF M",7,1,1,1
,"JARDIM STA FELICIDADE, C E DE-EF M P",49,3,1,1
,"JOAO F NEVES, C E C-M DR-EF M",14,1,1,1
,"JOSE A B ORSO, C E C-M-EF M PROF",10,1,1,1
,"JOSE BONIFACIO, C E-EF M",40,2,1,1
,"JOSE DE ALENCAR, C E C -EF ETI EM",6,1,1,1
,"JOSE DE ANCHIETA, C E-EF M PROFIS",15,1,1,1
,"JULIA WANDERLEY, C E C-M PROF-EF M",17,1,1,1
,"JUVINOPOLIS, C E C DE-EF M",22,2,1,1
,"LONGUINOPOLIS, C E C-EF M",19,1,1,1
,"MARCOS C SCHUSTER, C E-EF M PROFIS",7,1,1,1
,"MARIA DESTEFANI GRIGGIO, C E-EF M",65,4,1,1
